"","Country","Species","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","total"
"553","China","Sea urchins nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10026,19661.74,18835.14,32393.63,23717.6,11674.83,23931.65,25833.9,32708.76,31118.79,36868.94,41140.11,43514.63,63580.82,61481.77,56009.05,532497.36
"554","China","Silver carp",737879,969321,1145182,1284280,1436570,1295968.5,1398680,1360969,1540704,1716262.4,1925473.5,2102333.05,2380325.55,2430873.35,2389075.45,2238727.2,2250231.2,2272416,2354016.8,2337332.8,2393915.19,2457980.29,2613243.57,3706071.49,4476964.54,4949832.73,5453294.76,6472478.72,6767591.09,7617793.02,8824988.64,8975671.03,9008024.56,8857617.09,8871528.34,127013615.86
"555","China","Snakehead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122606.4,164867.03,193520.37,206239,360162.55,440169.9,493400.72,551016.88,753579.48,853950.75,976632.43,1031924.47,989079.41,1064980.73,1075471.87,1022350.6,10299952.59
"556","China","Spirulina nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6593.2,14355.6,19391.6,22348,38612.84,41629.76,39960.45,58148.91,50377.7,58251.1,64321.34,70837.84,72984.6,66758.4,65426.88,63283.68,753281.9
"557","China","Sturgeons nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18782,19453.83,26858.98,30778.87,59901.88,68103.47,92654.7,121208.33,174907.82,229834.41,290289.72,359850.97,424875.14,411069.32,433479.7,505794.17,3267843.31
"558","China","Swan mussel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14010.6,14699.93,15077.31,17334.01,33027.77,40762.75,41143.33,46899.6,51469.2,55172.88,67373.28,62821.63,64803.65,65948.17,51938.13,44031.77,686514.01
"559","China","Swimming crabs, etc. nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17556,16142.79,16231.37,6035.76,22564.21,0,0,0,0,0,0,0,0,0,0,0,78530.13
"560","China","Tiger pufferfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8878,13008.07,18105.25,19801.39,16523.39,20732.05,25662.4,24776.15,19468.77,24229.29,28545.94,37972.02,48423.08,50354.67,53442.57,50488.26,460411.3
"561","China","Turbot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62500,250000,6e+05,360000,5e+05,550000,570000,570000,512000,617500,547500,480000,442500,321750,295750,327600,7007100
"562","China","Wakame",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604454,768586.4,837903.6,658520,591757.94,675947.52,689781.87,605803.48,860727.29,1235094.11,1292751.1,1630503.84,1528568.23,1274885.67,1399410.05,1472470.17,16127165.27
"563","China","Whiteleg shrimp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527034,1051716,1789916.4,2170786.06,2522775.86,3379908.06,4435589.41,5213198.25,5526511.72,6470979.38,8083627.31,9463963.28,9952231.28,11619942.86,11839282.44,12747883.58,12907870.09,13629134.09,123332350.07
"564","China","Wuchang bream",115062,151130,187452,221234,247523,183334.66,205251.05,199301.7,235970.8,284597.3,352031.25,403120.8,454977.6,486078,483666,502450.8,512802.25,539581.15,561096.5,521497.4,513265.8,554484.91,631874.93,914076.83,1101507.45,1164768.18,1291067.1,1547218.05,1695769.71,1893873.45,2140898.45,2150820.59,2584503.89,2509346.32,2359220.87,29900854.79
"565","China","Yellow catfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42621.3,49006.43,66364.16,81959.98,142080.13,194546.26,239741,287455.71,390961.84,485951.7,603438.04,718843.62,756456.29,1030456.1,1138635.9,1208794.92,7437313.38
"566","China, Hong Kong SAR","Areolate grouper",0,0,0,0,0,0,0,0,0,10323.3,10287,9480.87,13517.79,9569.27,3362.8,1199.76,1667.63,4140.24,1683.97,1952.39,1988.21,1712.45,538.39,789.86,1664.36,1817.66,1069.25,819.66,726.5,916.25,744.86,18.93,34.19,18.77,0,80044.36
"567","China, Hong Kong SAR","Barramundi(=Giant seaperch)",900,613.78,777,312.8,212.29,1630.3,1513.56,2040.79,1628.3,2063.2,2111.31,1795.51,875.07,433.37,302.5,212.61,79.71,18.79,13.13,20.95,0,0,0,0,0,83.15,0,0,0,0,0,0,0,0,0,17638.12
"568","China, Hong Kong SAR","Bighead carp",2793.58,2425.39,2185,2340,2631.6,2406.9,2083,2292.86,2213.64,1447.38,1357.81,1744.42,1428.9,1602.51,1558.9,1131.26,902.37,738.58,486.28,654.33,484.25,617.03,555.13,615.58,893.51,528.95,612.81,894.54,1197.73,672.51,805.32,838.18,1034.17,1189.59,1293.38,46657.39
"569","China, Hong Kong SAR","Common carp",748.28,932.11,828,1026,1678.6,1852.5,1429.06,1347.56,1430.35,1066.83,1165.31,366.65,252.8,245.66,193.21,64.35,90.56,53.19,47.41,7.05,5.47,4.32,4.74,1.47,55.52,88.58,2.88,59.4,27.23,46.62,22.59,25.1,22.11,20.15,4.21,15215.87
"570","China, Hong Kong SAR","Cupped oysters nei",576,512,1280,1066,853,730,805,640,533,603,625.23,571.67,477.36,514.01,474.45,384.24,383.29,638.25,1269.44,1277.26,1146.56,770.99,771.95,1025.06,1414.23,1805.47,1029.83,513.93,902.21,1160.08,1289.59,1289.83,1288.3,1668.11,2169,32458.34
"571","China, Hong Kong SAR","Flathead grey mullet",1409.26,1241.48,1767,1705,1160.22,1634.8,1607.69,1679.3,1831.28,2034.54,1899.9,6933.06,5308.12,2394.24,1864.76,2857.28,1324.02,990.15,729.59,286.95,1392.83,1634.71,2120.22,1239.28,1502.09,1858.35,2411.34,3753.78,4228.14,3197.92,2514.42,3008.46,3902.3,3462.92,4001.58,80886.98
"572","China, Hong Kong SAR","Freshwater fishes nei",0,0,0,0,0,0,526.33,600,555,1036.5,824,376,708.9,34,34,266.4,253.45,153.9,95,5.7,1.9,0,45,0,3,255,213,20,45,45,65,25,190,140,45,6562.08
"573","China, Hong Kong SAR","Goldfish",0,0,0,0,0,0,0,0,0,0,0,0,0,125.68,122.91,0,168,349.54,317.87,195.81,281.5,128.14,143.67,189.08,304.59,250.54,254.21,207.19,265.64,269.56,337.89,252.64,403.39,333.02,326.4,5227.27
"574","China, Hong Kong SAR","Goldlined seabream",1220,1233.67,1915.2,4410.9,10167.85,6555,6371.72,9334.68,10457.91,8844.96,9636.21,8606.19,2060.45,6481.09,1203.82,439.98,638.34,644.54,142.19,42.37,103.9,34.56,273.13,47.68,50.16,98.45,34.7,39.36,324.93,27.5,48.04,10.11,228.16,77.38,155.74,91960.87
"575","China, Hong Kong SAR","Grass carp(=White amur)",2793.58,1835.19,2064,2160,1901.9,2125,1435.22,1527.33,1549.55,1422.71,1375.09,1176.93,1117.37,1312.89,1215.17,798.92,801.99,736.73,460.9,643.44,444.91,541.19,450.56,643.17,1174.76,754.34,814.86,941.32,1097.36,782.26,945.77,1134.79,1147.09,1478.82,1505.54,42310.65
"576","China, Hong Kong SAR","Greasy grouper",1211,1308.36,1512,4694.9,4364.04,2659.2,2741.13,3736.06,810.96,1532.52,1571.93,1565.29,6614.22,10561.87,1963.3,2216.65,5451.58,9197.57,2523.55,7214.92,6811.3,4230.59,5177.97,12485.6,11865.34,4507.88,8822.05,6655.01,0,0,0,0,0,0,0,134006.79
"577","China, Hong Kong SAR","Hong Kong catfish",402.41,285.34,286,400,341.6,287.1,324,319,468.27,972.46,1596.97,127.78,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5815.63
