Country (Country),ASFIS species (CPC class),FAO major fishing area (FAO major fishing area),Environment (Environment),Unit (Unit),Unit,2013,2014,2015,2016,2017,2018
Cambodia,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,600,600,600,4925,5000,6000
Cambodia,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1400,1500,1500,1500,1500,1500
Cambodia,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Marine,Value (USD 1000),USD 1000,0,0,400,447,440,440
Cambodia,Others,All,Freshwater,Value (USD 1000),USD 1000,70,70,70,70,80,100
Cameroon,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,4268.38,5797.26,6156.48,7354.03,7491.91,7914.99
Canada,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,9941.05,7317.86,7160.56,5339.27,5703.36,5915.85
Canada,"Fish of Gadiformes, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Canada,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,15672.18,12612.55,11265.75,11093.31,13774.06,4438.67
Canada,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,46543.59,42697.58,33900.43,28468.74,27841.95,34418.21
Canada,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,6757.28
Canada,"Other molluscs, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,97.04,1596.37,174.41,2038.07,2908.03,4993.93
Canada,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,27638.06,27725.55,28562.22,29942.91,35113.01,38663.31
Canada,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,43104.94,42607.8,34520.91,43512.96,42210.95,44661.9
Canada,"Salmonidae, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,777959.38,550753.51,640683.37,896740.98,946186.3,951102.28
Canada,"Scallops, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,946.39,603.29,245.56,294.81,477,395.12
Canada,"Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Central African Republic,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,566.76,566.33,473.41,472.17,481.02,503.85
Central African Republic,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Freshwater,Value (USD 1000),USD 1000,20,20,20,25,25,25
Chad,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,96.15,96.07,201.29,122.76,652.82,683.8
Chad,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,41.23,43.19
Channel Islands,"Abalone, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,2.03,0,0,0,0,0
Channel Islands,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Channel Islands,"Flatfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,21.89,23.04,21.39,18.9,18.02,18.68
Channel Islands,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,96.83,104.6,96.62,4.03,76.3,108.56
Channel Islands,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,4362.63,6298.61,5452.06,4420.28,3614.15,4596.43
Channel Islands,"Scallops, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,11.88,5.92,8.56,1.56,5.13,8.89
Chile,"Abalone, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,81018.04,105266.12,74755.7,105580.6,67047.95,72083.73
Chile,"Flatfish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,2098.27,39.2,58.8,0,0,37.04
Chile,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,59432,0,0,0,0
Chile,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,2075120.47,2584511.4,1719463.8,2200509.3,2515906.61,2829493.11
Chile,"Other molluscs, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,25,0,0
Chile,"Other pelagic fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,10,0,0,0,51.2
Chile,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,681,924,645,810,1302.42,1345.5
Chile,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,286194.7,442318.59,3691.9,6774.8,32095.59,7251.71
Chile,"Salmonidae, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,4964980.24,6993068.46,4972457.3,5459845.6,7615460.16,7315940.49
Chile,"Scallops, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,115173.03,90507.18,63048,93995.5,138840.57,220065.03
Chile,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Freshwater,Value (USD 1000),USD 1000,4526.82,3899.48,0,2419.1,6403.6,9438.81
Chile,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Marine,Value (USD 1000),USD 1000,23175.6,29204.86,29282.4,31176.6,35122.96,43274.93
China,"Abalone, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,848443.03,936896.56,1027161.74,1143412.13,1260501.95,1384652.13
China,"Clams, cockles and ark shells, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,54149.25,59507.65,61668.72,58551.11,58344.52,48310.1
China,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,7498304.72,8239935.95,8248537.29,8883955.11,9076423.39,8951739.12
China,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose",All,Freshwater,Value (USD 1000),USD 1000,15078.49,16022.12,14151.66,13091.33,7738.86,5789.12
China,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose",All,Marine,Value (USD 1000),USD 1000,60.54,27.23,25.85,21.35,16.59,20.29
China,"Crabs, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,616307.23,667152.47,679961.66,730402.06,762567.89,828340.48
China,"Crabs, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
China,"Crabs, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,635806.81,728242.9,713617.08,788924.52,767291.46,744703.91
China,"Flatfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,847965.86,876427.55,904382.93,801730.59,727791.28,739204.76
China,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,53664812.65,59333051.19,60921507.69,64555219.44,64816627.51,64429325.27
China,"Jellyfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,259478.16,278240.56,320246.65,341725.99,354379.96,312963.85
China,"Mussels, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,67373.28,62821.63,64803.65,65948.17,51938.13,44031.77
China,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,321050.72,365711.53,379615.64,408980.95,439686.67,428193.11
China,"Other aquatic invertebrates, live, fresh or chilled, n.e.c.",All,Freshwater,Value (USD 1000),USD 1000,81602,72801.37,74695.63,72872.56,93788.06,100250.14
China,"Other aquatic invertebrates, live, fresh or chilled, n.e.c.",All,Marine,Value (USD 1000),USD 1000,295932.98,233577.37,196594.8,198500.38,192050.01,318324.82
China,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,12485999.98,14391335.9,15002563.15,16695383.46,19352276.79,23848908.45
China,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1271740.43,1458375.89,1584976.3,1566133.07,1619417.68,1783034.02
China,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,2058717.42,2413412.71,2688607,2824251.18,3108734.99,3283176.76
China,"Other molluscs, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,178257.17,920985.12,213993.44,220300.44,210794.86,202045.68
China,"Other molluscs, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1068196.7,1133299.77,1071678.88,1160246.42,1063055.32,1055222.55
China,"Other pelagic fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,922375.25,917704.99,910821.29,970121.91,1027149.48,1052900.25
China,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,6921183.12,7856679.55,7756528.55,8616378.79,9483498.2,9938979.13
China,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,8385221,8937256.73,9147424.37,9456733.54,9232020.41,9291716.82
