"","Country","CPC_Class","y13","y14","y15","y16","y17","y18"
"425","Guatemala","Other shrimps and prawns, live, fresh or chilled",75702,76400.5,78474,81999.5,90502.5,95001.5
"426","Guatemala","Other shrimps and prawns, live, fresh or chilled",176,0,0,0,0,0
"427","Guatemala","Salmonidae, live, fresh or chilled",0,0,399.6,215.4,768,780
"428","Guinea","Freshwater fish, live, fresh or chilled",1202.1,1308.79,1498.89,1485.77,1944.91,2471.28
"429","Guinea-Bissau","Freshwater fish, live, fresh or chilled",0,0,0,25.3,90.19,107.97
"430","Guyana","Freshwater fish, live, fresh or chilled",0,12.99,0,0,92.94,95.9
"431","Guyana","Freshwater fish, live, fresh or chilled",964.54,733.99,1080.42,790.24,1694.27,452.49
"432","Guyana","Other fish, live, fresh or chilled",45.52,192.35,104.9,3.58,0,0
"433","Guyana","Other shrimps and prawns, live, fresh or chilled",57.84,783.87,517.56,180.73,1477.59,741.56
"434","Guyana","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"435","Haiti","Freshwater fish, live, fresh or chilled",1577.5,1997.5,2412.5,2552.5,2772.5,2772.5
"436","Honduras","Freshwater fish, live, fresh or chilled",65540,80622.5,81571,84010,89430,90785
"437","Honduras","Other shrimps and prawns, live, fresh or chilled",167750,176000,137500,126500,173250,173250
"438","Honduras","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"439","Hungary","Freshwater fish, live, fresh or chilled",33949.91,37979.8,32266.96,33615.02,41762.68,44097.5
"440","Hungary","Other fish, live, fresh or chilled",459.2,681.61,1508.29,988.86,1669.27,901.04
"441","Hungary","Salmonidae, live, fresh or chilled",282.44,375.02,215.76,286.17,301.61,340.68
"442","Iceland","Abalone, live, fresh or chilled",0,0,0,0,0,0
"443","Iceland","Fish of Gadiformes, live, fresh or chilled",2602.8,1550,148,106.2,52.2,55.1
"444","Iceland","Flatfish, live, fresh or chilled",0,0,3016,3744,4400,2893.4
"445","Iceland","Flatfish, live, fresh or chilled",640.3,0,0,0,0,0
"446","Iceland","Freshwater fish, live, fresh or chilled",2.4,1.5,1.8,0,0,0
"447","Iceland","Mussels, live, fresh or chilled",166,144,93,68,82.7,118.8
"448","Iceland","Other fish, live, fresh or chilled",0,0,0,0,0,0
"449","Iceland","Salmonidae, live, fresh or chilled",47141.5,56830,41103.1,76657.6,112076.3,109344.8
"450","Iceland","Salmonidae, live, fresh or chilled",610.2,3195.9,3348.8,8979.6,28230.8,1563.5
"451","Iceland","Salmonidae, live, fresh or chilled",0,0,0,0,0,0
"452","India","Clams, cockles and ark shells, live, fresh or chilled",0,0,0,0,0,0
"453","India","Freshwater fish, live, fresh or chilled",7240060.1,7394754.83,7440532.52,7793531.66,8412254.43,9235092.62
"454","India","Mussels, live, fresh or chilled",24190.31,23349.36,20342.33,19421,20730.46,19739.88
"455","India","Other fish, live, fresh or chilled",310250.32,294939.27,280583.86,267875.82,294833.2,321686.97
"456","India","Other fish, live, fresh or chilled",368,360,360,400,6.14,5.85
"457","India","Other shrimps and prawns, live, fresh or chilled",2476200.28,2835580.55,2567938.13,2369915.24,3500580.73,3534023.81
